Device Type: FT1080
Firmware Version:20240731113137
Start Freqency Division:1
Window Resolution:64ps
Mask Window:0 ns
Start Threshold:1499mV
Stop Threshold:1499mV
Stop Delay(ns):ch0 0.0 ns,ch1 0.0 ns,ch2 0.0 ns,ch3 0.0 ns,ch4 0.0 ns,ch5 0.0 ns,ch6 0.0 ns,ch7 0.0 ns,
Mode:T3

[Flag:] 0(Event)	1(Control Field)
Flag	 Channel	 Time(bin)	 Time(ps)	 Seq
0	2	7277	465728	87576
0	2	2695	172480	87811
0	3	27328	1748992	88191
0	3	28616	1831424	88191
0	0	21717	1389888	88584
0	1	515	32960	88686
0	1	2470	158080	88686
0	0	17270	1105280	89037
0	3	31033	1986112	89358
0	3	12843	821952	89360
0	3	14457	925248	89360
0	0	13623	871872	89498
0	1	8532	546048	90065
0	3	24562	1571968	90364
0	2	11496	735744	90378
0	1	27337	1749568	90528
0	0	19946	1276544	90685
0	0	21292	1362688	90685
0	3	3375	216000	91047
0	3	4156	265984	91047
0	0	8627	552128	91161
0	3	12225	782400	91517
0	0	10686	683904	91640
0	0	23847	1526208	91806
0	3	29378	1880192	91972
0	1	27272	1745408	92076
0	2	4928	315392	92462
0	1	28441	1820224	92480
0	3	7219	462016	92716
0	3	23277	1489728	92928
0	1	8066	516224	92962
0	3	6357	406848	93651
0	0	5472	350208	93831
0	0	7875	504000	94055
0	0	27640	1768960	94281
0	3	32443	2076352	94445
0	0	28053	1795392	94553
0	3	7413	474432	94928
0	2	29262	1872768	94944
0	2	4797	307008	95301
0	2	5812	371968	95301
0	0	31177	1995328	95843
0	3	1841	117824	95898
0	3	13810	883840	96457
0	0	3083	197312	96790
0	3	6675	427200	96903
0	1	22282	1426048	97066
0	3	20454	1309056	97240
0	0	16466	1053824	98067
0	3	16400	1049600	98414
0	1	20572	1316608	98715
0	1	21525	1377600	98715
0	1	22585	1445440	98715
0	1	27441	1756224	98715
0	2	1302	83328	98999
0	0	8563	548032	99261
0	0	31428	2011392	99271
0	3	7586	485504	99681
0	2	13252	848128	99758
0	3	30082	1925248	99941
0	0	8533	546112	100266
0	2	32484	2078976	100669
0	2	30890	1976960	100671
0	0	21393	1369152	100803
0	0	9319	596416	100828
0	2	4481	286784	101355
0	2	9170	586880	101355
0	3	26596	1702144	101446
0	3	21709	1389376	101592
0	3	25409	1626176	101760
0	2	18854	1206656	101814
0	3	5080	325120	101968
0	3	6196	396544	101968
0	1	28747	1839808	102140
0	2	6705	429120	102911
0	0	29287	1874368	102981
0	3	11856	758784	103400
0	3	16511	1056704	103414
0	3	23055	1475520	103414
0	0	4471	286144	103577
0	0	6717	429888	103577
0	0	13358	854912	104318
0	0	14296	914944	104318
0	1	21433	1371712	105034
0	3	31388	2008832	105218
0	3	32385	2072640	105218
0	2	24502	1568128	105362
0	2	436	27904	105513
0	2	1255	80320	105513
0	2	2346	150144	105513
0	0	5574	356736	105552
0	0	15860	1015040	106045
0	2	734	46976	106914
0	2	2898	185472	106914
0	2	5437	347968	106914
0	3	6860	439040	107264
0	3	27446	1756544	107489
0	3	19506	1248384	107619
0	0	10709	685376	107700
0	3	13176	843264	107816
0	3	1257	80448	107908
0	0	30636	1960704	108796
0	3	27437	1755968	108946
0	2	26024	1665536	109651
0	0	4627	296128	109720
0	3	13615	871360	109765
0	1	12363	791232	110258
0	2	30086	1925504	110296
